GFDC-number,concept-id,Keytype,indexTerm-en,indexTerm-de,indexTerm-fi,note,fi-new-term
422.1,,,Frost injuries and protection,Frostschäden und Schutzmaßnahmen,,,
422.11,,,Frost injuries and protection: early frost,Frostschäden und Schutzmaßnahmen: Frühfrost,,,
422.12,,,Frost injuries and protection: late frost,Frostschäden und Schutzmaßnahmen: Spätfrost,,,
422.13,,,Frost-heaving,Barfrost,,,
422.14,,,Freezing of soil: forest injuries and protection,Frost des Bodens: Forstschäden und Schutzmaßnahmen,,,
422.14,,,Frost injuries and protection: soil freezing,Frostschäden und Schutzmaßnahmen: Bodenfrost,,,
422.14,,,Soil freezing: forest injuries and protection,Bodenfrost: Forstschäden und Schutzmaßnahmen,,,
422.15,,,Frost injuries and protection: low winter temperatures,Frostschäden und Schutzmaßnahmen: tiefe Wintertemperaturen,,,
422.15,,,Low winter temperatures: forest injuries and protection,Tiefe Wintertemperaturen: Forstschäden und Schutzmaßnahmen,,,
422.18,,,Frost pockets,Frostlöcher,,,
422.2,,,Drought: forest injuries and protection,"Dürre, Forstschäden und Schutzmassnahmen",,,
422.2,,,Heat: forest injuries and protection from,Hitze: Forstschäden und Schutzmaßnahmen,,,
422.3,,,Insolation: injuries and protection,Sonnenstrahlung: Schäden und Schutz,,,
422.3,,,"Sun scorch (\""scald\"")",Rindenbrand,,,
423,,,Precipitation: forest injuries and protection,Niederschlag: Forstschäden und Schutzmaßnahmen,,,
423.1,,,Rain: forest injuries and protection,Regen: Forstschäden und Forstschutz,,,
423.2,,,Hoar-frost: forest injuries,,,,
423.2,,,Rime: forest injuries and protection,Reif: Forstschäden und Forstschutz,,,
423.3,,,Glazed ice: forest injuries,Glatteis usw.: Forstschäden,,,
423.3,,,"Ice, glazed: forest injuries",,,,
423.4,,,Snow: forest injuries and protection,Schnee: Forstschäden und -schutz,,,
423.5,,,Avalanches: forest injuries and protection,Lawinen: Forstschutz,,,
423.6,,,Congealed snowflakes: forest injuries,,,,
423.6,,,Hail: forest injuries,Hagel: Forstschäden,,,
423.6,,,"Snowflakes, congealed: forest injuries",Graupeln: Forstschaden,,,
424,,,(empty),,,,
424.1,,,Deposition of eroded matter: forest injuries and protection,,,,
424.1,,,Erosion effects: forest injuries and protection,Erosionswirkungen: Forstschäden und Forstschutz,,,
424.1,,,Landslides: forest injuries and protection,Erdrutsche: Forstschäden und Schutzmaßnahmen,,,
424.2,,,Flooding: injuries to trees,Überschwemmung: Baumschäden,,,
424.2,,,Waterlogging: forest injuries,Stauwasser: Forstschäden,,,
424.4,,,"Injuries, forest:due to salt",Schäden: durch Streusalz,,,
424.4,,,Salt injuries,,,,
424.5,,,Chemicals: in soil: tree injuries and protection,Chemikalien: im Boden: Forstschäden und Schutz,,,
424.5,,,Poisonous soil constituents: injuries due to,Giftige Bodenbestandteile: Schäden durch,,,
424.5,,,"Soil constituents: injurious, toxic (damage by)","Bodenbestandteile: schädliche, giftige (Forstschäden durch)",,,
424.5,,,Soil toxicity: damage due to,Bodengiftigkeit: Schäden infolge,,,
424.5,,,Toxic constituents: of soils (injuries due to),,,,
424.6,,,Fertilizing and fertilizers: injuries due to,Dünger und Düngen: Schäden durch,,,
424.7,,,Chlorosis,Chlorose,,,
424.7,,,"Deficiencies, nutrient",,,,
424.7,,,"Diseases, tree: nutrient deficiency",Krankheiten der Bäume: Mangelkrankheiten,,,
424.7,,,"Nutrient deficiencies, plant",Mangelkrankheiten bei Pflanzen,,,
425,,,Chemicals: in atmosphere: tree injuries and protection,Chemikalien: in der Atmosphäre,,,
425,,,Pollution: general,Verunreinigungen: Allgemeines,,,
425,,,,Luftverunreinigung,,,
425.1,,,Chemicals: in atmosphere: smoke injuries ,Chemikalien: in der Atmosphäre (Rauchschäden),,,
425.1,,,Fumes: forest injuries and protection,,,,
425.1,,,Gases: forest injuries and protection,Gase: Forstschäden und Schutzmaßnahmen,,,
425.1,,,GHG,,KHK,,f
425.1,,,Greenhouse gases,,kasvihuonekaasut,,
425.1,,,"Smoke, forest injuries and protection",Rauchschäden,,,
425.11,,,Acidic components of chemical influences,Saure Bestandteile von chemischen Einflüssen,,,
425.11,,,Chemical influences: acidic components,Chemische Wirkungen: Saure Bestandteile,,,
425.13,,,Organic components of chemical influences,Organische Bestandteile von chemischen Einflüssen,,,
425.13,,,Photooxidants,Photooxidantien,,,
425.14,,,Dusts as components of chemical influences,,,,
425.14,,,Metals as components of chemical influences,,,,
425.2,,,"Salt spray, injuries to trees","Salzige Gischt, Schäden an Bäumen durch",,,
425.3,,,Acid precipitation,Saure Niederschläge,,,
425.4,,,Metals as components of atmospheric chemical influences,Metalle als Komponenten von chemischen Einflüssen,,,
426,,,Cosmic influences: forest injuries and protection,Kosmische Einflüsse: Forstschäden und Schutz,,,
426,,,Electrical influences: forest injuries and protection,Elektrische Einflüsse: Forstschäden und Schutzmaßnahmen,,,
426.1,,,Lightning: forest injuries,Blitz: Forstschäden,,,
426.2,,,Ash: volcanic: forest injuries,Asche: vulkanische: Forstschäden,,,
426.2,,,"Atmosphere, solid particles in: damage to trees",Atmosphäre: feste Teilchen: Baumschäden,,,
426.2,,,Solid particles in atmosphere: forest injuries due to,Feste Teilchen in der Atmosphäre: Forstschäden infolge,,,
426.2,,,"Volcanic ash, injuries due to","Vulkanische Asche, Schäden durch",,,
426.4,,,Radioactivity,Radioaktivität,,,
43,,,"Fires, forest",Waldbrände,,,
430,,,"Forest fires, country reports and statistics",Waldbrände: Länderberichte und Statistiken,,,
431,,,"Fire danger, forest","Feuergefahr, forstliche",,,
431,,,"Fires, forest: predisposing factors",Waldbrände: begünstigende Faktoren und Ursachen,,,
431.1,,,"Fire danger, forest: influence of weather","Feuergefahr, forstliche: Witterung",,,
431.2,,,"Fire danger, forest: influence of fuel","Feuergefahr, forstliche: Beschaffenheit des brennbaren Materials",,,
431.3,,,"Fires, forest: causes of",Waldbrände: Ursachen,,,
431.4,,,"Fire danger, forest: seasonal and other periodic variations","Feuergefahr, forstliche: jahreszeitliche und andere periodisch bedingte Schwankungen",,,
431.5,,,"Fire danger, forest: current ratings and forecasts","Feuergefahr, forstliche: Gefahrenstufen und Vorhersagen",,,
431.5,,,Forecasting: fire danger,,,,
431.6,,,"Fires, forest: behaviour",Waldbrände: Verhalten,,,
431.6,,,"Fires, forest: types and behaviour of",Waldbrände: Feuerarten und ihr Verhalten,,,
432,,,"Fire prevention and control, forest",Feuerverhütung und Bekämpfung,,,
432.0,,,"Fire prevention and control, forest: general preparedness and organization: \""pre-suppression\""",Feuerverhütung und Bekämpfung: allgemeine Bereitschaft und Organisation,,,
432.1,,,(empty),,,,
432.11,,,"Fire prevention and control, forest: railways",Feuerverhütung und Bekämpfung: Eisenbahnen,,,
432.11,,,Railways: reduction of forest fire risk,"Eisenbahnen: Bekämpfung der Waldbrandgefahr, verursacht durch",,,
432.12,,,"Fire prevention and control, forest: logging installations",Feuerverhütung und Bekämpfung: Holzgewinnungseinrichtungen,,,
432.13,,,"Fire prevention and control, forest: campers and smokers","Feuerverhütung und Bekämpfung: Rauchen, Zelten, Lagerfeuer",,,
432.14,,,"Fire prevention and control, forest: incendiarism",Feuerverhütung und Bekämpfung: Brandstiftung,,,
432.15,,,(empty),,,,
432.16,,,"Fire danger, forest: reduction of","Feuergefahr, forstliche: Verminderung der Brandgefahr",,,
432.16,,,"Fire prevention and control, forest: reduction of natural hazard",Feuerverhütung und Bekämpfung: Verminderung der Brandgefahr,,,
432.16,,,,Brennen (Anwendung von Feuer): zur Verminderung der Feuergefahr,,,
432.17,,,"Firebreaks, permanent: living","Feuerstreifen, ständige: bewachsene",,,
432.18,,,"Firebreaks, permanent: cleared","Feuerstreifen, ständige: kahle",,,
432.2,,,"Fire detection and reporting, forest",Feuerentdeckung und Nachrichtendienst,,,
432.21,,,"Fire detection and reporting, forest: look-out system",Feuerentdeckung und Nachrichtendienst: Wachtsystem,,,
432.21,,,Look-out: system,Brandwachtsystem,,,
432.22,,,"Fire detection and reporting, forest: ground patrols",Feuerentdeckung und Nachrichtendienst: Geländepatrouille,,,
432.23,,,"Fire detection and reporting, forest: aerial observation",Feuerentdeckung und Nachrichtendienst: Luftbeobachtung,,,
432.24,,,"Fire detection and reporting, forest: use of reports from outside observers",Feuerentdeckung und Nachrichtendienst: Nachrichten von betriebsfremden Beobachtern,,,
432.3,,,"Fire suppression, forest",Brandbekämpfung im Walde,,,
432.31,,,"Fire suppression, forest: appraisal of situation and forces needed",Brandbekämpfung im Walde: Abschätzen der Lage und der erforderlichen Hilfe,,,
432.31,,,"Fire suppression, forest: dispatch and transport of teams and supplies",Brandbekämpfung im Walde: Absenden und Transport der Löschmannschaften und Ausrüstungen,,,
432.32,,,"Fire suppression, forest: plans of operation; strategy and tactics",Brandbekämpfung im Walde: Operationspläne: Strategie und Taktik,,,
432.33,,,"Fire suppression, forest: basic methods: types",Brandbekämpfung im Walde: Hauptmethoden der Bekämpfung: Typen,,,
432.331,,,"Fire suppression, forest: use of foam, liquids, water","Brandbekämpfung im Walde: Verwendung von Flüssigkeiten, Schaum und Wasser",,,
432.332,,,"Fire suppression, forest: use of soil, fire lines","Brandbekämpfung im Walde: Verwendung von Erde, Anlage von Wundstreifen usw.",,,
432.333,,,"Fire suppression, forest: beating or raking out",Brandbekämpfung im Walde: Ausschlagen des Feuers u.ä.,,,
432.334,,,Back-firing,"Vorfeuer, Forstschutz",,,
432.334,,,Counter-firing,"Gegenfeuer, Forstschutz",,,
432.334,,,"Fire suppression, forest: counter-(back-)firing",Brandbekämpfung im Walde: Anlage von Gegen- und Vorfeuer,,,
432.34,,,"Fire suppression, forest: basic methods: selection and application",Brandbekämpfung im Walde: Hauptmethoden der Bekämpfung: Auswahl und Anwendung,,,
432.35,,,"Fire suppression, forest: auxiliary dispositions","Waldbrandbekämpfung, Hilfsmassnahmen (z.B. Beleuchtung bei Nacht",,,
432.36,,,"Fire suppression, forest: teams: size, duties etc.","Brandbekämpfung im Walde: Löschmannschaften: Aufgabe, Stärke usw.",,,
432.37,,,"Fire suppression, forest: mopping up",Brandbekämpfung im Walde: Sicherung gegen das Wiederaufleben eines niedergekämpften Feuers,,,
432.37,,,"Fire suppression, forest: patrolling",Brandbekämpfung im Walde: Patrouillengänge,,,
432.38,,,"Fire suppression, forest: analysis of action and results",Brandbekämpfung im Walde: Analyse der Bekämpfungsmaßnahmen und Ergebnisse,,,
433,,,"Fire damage, forest: salvage and disposal of damaged material","Feuerschaden, forstlicher: Maßnahmen hinsichtlich feuerbeschädigten Materials",,,
433,,,Salvage: fire-damaged timber,Bergung: feuerbeschädigtes Holz,,,
434,,,Burnt areas: revegetation etc.,Brandflächen: Wiederbegrünung usw.,,,
434,,,Revegetation: burnt areas,Wiederbegrünung: Brandflächen,,,
435,,,"Fire injuries, forest",,,,
435,,,"Fire prevention and control, forest: undesirable effects",,,,
435,,,Fire: injurious effects,Feuer: schädliche Wirkungen,,,
435.1,,,"Fire prevention and control, forest: benefits of",Feuerverhütung und Bekämpfung: Vorteile,,,
435.2,,,"Fire damage, forest: from economic point of view","Feuerschaden, forstlicher: vom wirtschaftlichen Standpunkt aus",,,
435.2,,,"Fire losses, forest","Feuerschaden, forstlicher: Verluste",,,
435.3,,,"Fire injuries, forest: to trees: types and effects","Feuerschaden, forstlicher: an Bäumen: Arten und Wirkungen",,,
435.4,,,"Fire injuries, forest: to human life and property","Feuerschaden, forstlicher: an Menschenleben und Eigentum",,,
436,,,Burning (uses of fire),Brennen (Anwendung von Feuer),,,
436,,,Fire: beneficial effects; uses,Feuer: nützliche Wirkungen,,,
436:443,,,"Burning (uses of fire), to control fungus diseases",Brennen (Anwendung von Feuer): zur Bekämpfung von Pilzkrankheiten,,,
437,,,"Ecology, influence of forest fires",Ökologie: Einfluss von Waldbränden,,,
437,,,"Environment, influence of forest fires","Umwelt, Einfluss von Waldbränden",,,
437,,,"Forest fires, effects on environment and ecology","Waldbrände, Einfluss auf die Umgebung und Ökologie",,,
44,,,Forest pathology,Forstpathologie,,,
440,,,,"Schädlinge, pflanzliche im allgemeinen",,,
440,,,,Schädlingsprognose,,,
441,,,Weed control and weeds: in the forest,Unkrautbekämpfung: im Wald,,,
441:414.12,,,Herbicides,Unkraut-Vernichtungsmittel,,,
441:414.13,,,"Herbicides, growth regulators as",Unkraut-Vernichtungsmittel: Wuchsstoffe,,,
441:414.16,,,"Herbicides, auxiliary materials, dilutents etc.","Unkraut-Vernichtungsmittel: Hilfsmittel, Verdünnungsmittel usw.",,,
441:414.4,,,Herbicides: side effects of,Unkraut-Vernichtungsmittel: Nebenwirkungen,,,
442,,,(empty),,,,
442.1,,,Mistletoe,Mistel,,,
442.1,,,"Parasitic phanerogams, forest injuries and protection","Parasitische Phanerogamen, Forstschäden und Schutzmaßnahmen",,,
442.2,,,Epiphytes: forest injuries and protection,Epiphyten: Forstschäden und Schutzmaßnahmen,,,
442.3,,,Climbers: damage by and protection against,Lianen: Schäden durch,,,
443,,,Bacterial tree diseases and protection against them,Bakterielle Baumkrankheiten und Schutz gegen sie,,,
443,,,"Diseases, tree: bacterial and fungus",Krankheiten der Bäume: Bakterien und Pilze,,,
443,,,Fungus diseases of trees and protection against them,Pilzkrankheiten von Bäumen und Schutzmaßnahmen dagegen:,,,
443:414.12,,,Fungicides for forest protection,Pilzschutzmittel: im Forstschutz,,,
443:414.16,,,Fungicides for forest protection (auxiliary materials; dilutents etc.),"Pilzschutzmittel: im Forstschutz (Hilfsmittel, Verdünnungsmittel usw.)",,,
443:414.4,,,Fungicides for forest protection (side effects of),Pilzschutzmittel: im Forstschutz (Nebenwirkungen),,,
443.2,,,Damping off,Umfallkrankheit,,,
443.2,,,"Diseases, tree: bacterial and fungus (of seed and seedlings)",Krankheiten der Bäume: Bakterien und Pilze (Samen und Sämlinge),,,
443.2,,,Fungus diseases of trees and protection against them: diseases of seed and seedlings,Pilzkrankheiten von Bäumen und Schutzmaßnahmen dagegen: Krankheiten des Samens und der Sämlinge,,,
443.3,,,"Diseases, tree: bacterial and fungus (of older stages)",Krankheiten der Bäume: Bakterien und Pilze (im späteren Wachstumsstadium),,,
443.3,,,Fungus diseases of trees and protection against them: diseases of older stages,Pilzkrankheiten von Bäumen und Schutzmaßnahmen dagegen: Krankheiten im späteren Wachstumsstadium,,,
443.3,,,root rot,,Juurikääpä ,,f
443.4,,,Mycoplasma,Mykoplasma,,,
444,,,"Diseases, tree: virus",Krankheiten der Bäume: Viruskrankheiten,,,
444,,,Virus diseases: forest injuries and protection,Viruskrankheiten: Forstschutz,,,
45,,,Animals attacking trees: injuries and protection,Tierische Baumschädlinge: Schäden und Schutz,,,
450,,,(empty),,,,
451,,,Mammalia: forest injuries and protection,Mammalia: Forstschäden und Schutzmaßnahmen,,,
451.1,,,Domestic mammals: forest injuries and protection,"Haustiere, Forstschäden und Forstschutz",,,
451.1,,,Mammalia: forest injuries and protection (domestic mammals),Mammalia: Forstschäden und Schutzmaßnahmen (Haustiere),,,
451.2,,,Mammalia: forest injuries and protection (wild mammals),Mammalia: Forstschäden und Schutzmaßnahmen (wildlebende Säugetiere),,,
451.4,,,Fencing (as protection),"Gatter, als Schutzmaßnahme",,,
451/452,,,Game: damage and protection (forest protection aspects),Wild: Wildschaden und Wildschadensverhütung: (vom Standpunkt des Forstschutzes),,,
451/452,,,,Wildschaden und Wildschadensverhütung: vom Standpunkt des Forstschutzes,,,
452,,,Birds: damage by and protection against,Vögel: Schäden durch und Schutz gegen,,,
453,,,"Insect attack on trees, and protection against attack",Insektenbefall von Bäumen und Schutzmaßnahmen,,,
453:414.12,,,Insecticides: for use on trees,Insektizide: im Forstschutz,,,
453:414.16,,,"Insecticides: for use on trees (auziliary materials, dilutents etc.)","Insektizide: im Forstschutz (Hilfsmittel, Verdünnungsmittel usw.)",,,
453:414.4,,,Insecticides: for use on trees (side effects of),Insektizide: im Forstschutz (Nebenwirkungen),,,
454,,,"Nematodes, damage by","Nematoden, Schaden durch",,,
459,,,(empty),,,,
46,,,Man: forest injuries by,Mensch: Forstschäden durch den,,,
461,,,Logging damage,Holzhauerei- und Bringungsschäden,,,
462,,,Injurious removal of forest produce,Schädigende Nutzungen,,,
462,,,Minor forest products: injurious utilization of,Waldstreu: als schädigende Nutzung,,,
462,,,Utilization: injurious,"Nutzungen, schädigende",,,
462,,,,"Nebenerzeugnisse, forstliche: schädliche Nutzung der",,,
463,,,Damage by road construction,Schäden: durch Strassenbau,,,
463,,,Roads: construction damages,Straßen: Schäden durch Strassenbau,,,
468,,,Damage: to tree growth by recreation,Schäden: bei der Erholung,,,
468,,,Recreation: damage to tree growth by,Erholung: Schäden durch,,,
468,,,,Mensch: Schäden bei der Erholung,,,
48,,,"Damage: to trees, due to unknown or complex causes",,,,
48,,,"Diseases, tree: due to unknown or complex causes",Krankheiten der Bäume: infolge unbekannter oder komplexer Ursachen,,,
48,,,"Injuries, forest: due to unknown or complex causes","Schäden, forstliche: an Bäumen infolge unbekannter oder komplexer Ursachen",,,
5,,,"Mensuration, forest",Holzmeßkunde,,,
5,,,,Ertragskunde s.,,,
5,,,,Waldwachstum s.,,,
51,,,"Conversion, weights and measures","Umrechnung, Maße und Gewichte",,,
51,,,Measurement: systems and units of,Vermessen: Maßsysteme und -einheiten,,,
51,,,Systems of measurement,Maßsysteme,,,
511,,,"Measurement: systems and units of (metric, general)","Vermessen: Maßsysteme und -einheiten (metrische, Allgemeines)",,,
511,,,Metric system (general),Metrisches System (Allgemeines),,,
512,,,"Measurement: systems and units of (British and American, general)","Vermessen: Maßsysteme und -einheiten (britische und amerikanische, Allgemeines)",,,
513,,,"Measurement: systems and units of (other, general)","Vermessen: Maßsysteme und -einheiten (andere, Allgemeines)",,,
514,,,"Area, measures of",Flächenmaße,,,
514,,,Linear and area measures,Längen- und Flächenmaße,,,
514.1,,,"Area, measures of, metric",Flächenmaße: metrische,,,
514.1,,,Linear and area measures: metric,Längen- und Flächenmaße: metrische,,,
514.2,,,"Area, measures of, British and American",Flächenmaße: britische und amerikanische,,,
514.2,,,Linear and area measures: British and American,Längen- und Flächenmaße: britische und amerikanische,,,
514.9,,,"Area, measures of, other",Flächenmaße: andere,,,
514.9,,,Linear and area measures: other,Längen- und Flächenmaße: andere,,,
516,,,"Volume, solid: systems and units of measurement",Festgehalt: Maßsysteme und -einheiten,,,
516.1,,,"Volume, solid: systems and units of measurement: metric",Festgehalt: Maßsysteme und -einheiten metrisches System,,,
516.11,,,"Volume, solid: systems and units of measurement: metric (true measure)",Festgehalt: Maßsysteme und -einheiten metrisches System (wirkliches Maß),,,
516.15,,,"Volume, solid: systems and units of measurement: metric (trade, nominal, customary measure)","Festgehalt: Maßsysteme und -einheiten metrisches System (Handel, nominelle und Gewohnheitsmaße)",,,
516.2,,,"Volume, solid: systems and units of measurement: British and American",Festgehalt: Maßsysteme und -einheiten: britische und amerikanische,,,
516.21,,,"Volume, solid: systems and units of measurement: British and American (true cubic-foot measure)",Festgehalt: Maßsysteme und -einheiten: britische und amerikanische (wirkliches Kubikfußmaß),,,
516.22,,,"Volume, solid: systems and units of measurement: British and American (true board-foot measure)",Festgehalt: Maßsysteme und -einheiten: britische und amerikanische (wirkliches Board-Fuß-Maß),,,
516.25,,,Hoppus measure,Hoppus Maß,,,
516.25,,,Quarter-girth measurement,Quarter-girth-Maß,,,
516.25,,,"Volume, solid: systems and units of measurement: British and American (Hoppus (quarter-girth))",Festgehalt: Maßsysteme und -einheiten: britische und amerikanische (Hoppus-(quarter-girth-)Maß),,,
516.26,,,Board-foot measure: by log rules; as system of measurement,"Board-Fuß-Maß: nach \""log rules\""; als Maßsystem",,,
516.26,,,"Volume, solid: systems and units of measurement: British and American (board-foot measure by log rules)","Festgehalt: Maßsysteme und -einheiten: britische und amerikanische (Board-Fuß-Maß nach \""log rules\"")",,,
517,,,Stacked volume,Schichtmaß,,,
517,,,Stacked wood: units of measure,Schichtholz: Maßeinheiten,,,
517,,,Volume of stacked products: units of stacked volume,"Festgehalt von Schichtholz, einschl. Umrechnungsfaktoren: Einheiten des Schichtmaßes",,,
517,,,,Raummaß,,,
517.1,,,Volume of stacked products: units of stacked volume (metric),"Festgehalt von Schichtholz, einschl. Umrechnungsfaktoren: Einheiten des Schichtmaßes (metrische)",,,
517.2,,,Volume of stacked products: units of stacked volume (British and American),"Festgehalt von Schichtholz, einschl. Umrechnungsfaktoren: Einheiten des Schichtmaßes (britische und amerikanische)",,,
517.9,,,Volume of stacked products: units of stacked volume (other),"Festgehalt von Schichtholz, einschl. Umrechnungsfaktoren: Einheiten des Schichtmaßes (andere)",,,
518,,,Weight: units of,Gewicht: Maßeinheiten,,,
518.1,,,Weight: units of (metric),Gewicht: Maßeinheiten(metrische),,,
518.2,,,Weight: units of (British and American),Gewicht: Maßeinheiten(britische und amerikanische),,,
521.1,,,Calipers: for mensurational work proper,Kluppen: für Holzmassenaufnahme insbesondere,,,
521.1,,,"Diameter, determination of",Durchmesserermittlung,,,
521.2,,,"Diameter, determination of: at breast height",Durchmesserermittlung in Brusthöhe,Rinnankorkeusläpimitta ,,
521.21,,,"Diameter, determination of: at breast height of single stems",Durchmesserermittlung in Brusthöhe: Einzelstamm,,,
521.22,,,"Diameter, determination of: at breast height of stands (mean diameter)",Durchmesserermittlung in Brusthöhe: Baumgruppen und Bestände (mittlerer Durchmesser),,,
521.23,,,"Diameter, determination of: at breast height effects of excentricity",Durchmesserermittlung in Brusthöhe: Wirkung der Exzentrizität des Querschnittes,,,
521.23,,,"Eccentricity of stem section, mensurational effects","Exzentrizität des Stammquerschnitts, Einfluß bei Messungen",,,
521.24,,,"Diameter, determination of: at breast height effect of rounding off values",Durchmesserermittlung in Brusthöhe: Wirkung von Auf- und Abrundungen,,,
521.25,,,"Diameter, determination of: at breast height effect of measurement errors",Durchmesserermittlung in Brusthöhe: Wirkung von Meßfehlern,,,
521.26,,,Buttresses: diameter measurement in presence of,,,,
521.26,,,"Diameter, determination of: at breast height allowance for buttresses, root swelling etc.","Durchmesserermittlung in Brusthöhe: Abzug für Brettwurzeln, Stammanläufe usw.",,,
521.26,,,Root swelling: effect on diameter measurements,Wurzelanlauf: Einfluß auf Durchmesserermittlungen,,,
521.27,,,"Diameter, determination of: at breast height estimation from stump measurements",Durchmesserermittlung in Brusthöhe: Schätzung nach Stockabmessungen,,,
521.27,,,"Stump: measurements, estimation of diameter from",Stock: Durchmesserermittlung nach Stockabmessungen,,,
521.3,,,"Diameter, determination of: at other positions",Durchmesserermittlung in Brusthöhe: andere Messungen als in Brusthöhe,,,
521.32,,,"Diameter, determination of: at other positions mid-diameter",Durchmesserermittlung in Brusthöhe: Mittendurchmesser,,,
521.321,,,"Diameter, determination of: at other positions mid-diameter tables",Durchmesserermittlung in Brusthöhe: Mittendurchmessertafeln,,,
521.321,,,Tables and their construction: mid-diameter,Tafeln und ihre Aufstellung: Mittendurchmesser,,,
521.5,,,(empty),,,,
521.51,,,Tables and their construction: sectional-area,Tafeln und ihre Aufstellung: Kreisfläche,,,
521.6,,,Basal area,Grundfläche,,,
521.61,,,Basal area: single stems,Grundfläche: Einzelstamm,,,
521.62,,,Angle count method,Winkelzählprobe,,,
521.62,,,Basal area: stands (mean basal area),Grundfläche: Bestände (mittlere Grundfläche),,,
521.62,,,"Point sampling, measurement",Bitterlich Methode,,,
521.62,,,Relascope,Relaskop,,,
521.7,,,Sectional area at positions other than breast height [at breast height see Basal area],Kreisfläche in anderen Meßhöhen als der Brusthöhe [in Brusthöhe siehe Kreisfläche],,,
522,,,Height measurement,Höhenmessung,,,
522,,,"Length (of logs etc.), measurement","Länge (von Stämmen usw.), Holzmeßkunde",,,
522.1,,,Height measurement: felled trees,"Höhenmessung: gefällte, liegende Stämme",,,
522.2,,,Height measurement: single standing trees,Höhenmessung: einzelne stehende Bäume,,,
522.3,,,Height measurement: stands (mean height),Höhenmessung: Baumgruppen und Bestände (Mittelhöhe),,,
522.31,,,Height measurement: curves and tables,Höhenmessung: Kurven und Tafeln,,,
522.31,,,Tables and their construction: height,Tafeln und ihre Aufstellung: Höhe,,,
523,,,Bark measurements,Rindenmessung,,,
523.1,,,Bark measurements: thickness,Rindenmessung: Stärke,,,
523.1,,,Stärke der Rinde,"Thickness, bark",,,
523.2,,,"Bark measurements: form, variation in thickness along stem","Rindenmessung: Form, Stärkenunterschied an verschiedenen Stammteilen",,,
523.2,,,"Form: of bark, mensurational aspects","Form: fehlerhafte des Rindenkörpers, meßtechnische Gesichtspunkte",,,
523.3,,,Bark measurements: bark %,Rindenmessung: Rindenprozent,,,
523.3,,,Bark measurements: volume,Rindenmessung: Masseninhalt,,,
524,,,(empty),,,,
524.1,,,"Form: of trees, mensurational aspects","Form: der Bäume, meßtechnische Gesichtspunkte",,,
524.11,,,"Form: mathematical, mechanical and other expressions of","Form: fehlerhafte mathematische, mechanische und andere Ausdrucksweisen der",,,
524.12,,,Form: factors,Form: Formzahlen,,,
524.12,,,Form: height,Form: Formhöhe,,,
524.121,,,"Tables and their construction: form factor, form height","Tafeln und ihre Aufstellung: Formzahlen, Formhöhe",,,
524.13,,,Form: classes,Form: Formklassen,,,
524.13,,,Form: point,Form: Formpunkt,,,
524.13,,,Form: quotient,Form: Formquotient,,,
524.131,,,"Tables and their construction: form quotient, form classes","Tafeln und ihre Aufstellung: Formquotient, Formklassen",,,
524.14,,,Taper expressed as gradient,Durchmesserabnahme,,,
524.15,,,"Form: of particular portions of bole (top, root swelling etc.), mensurational aspects","Form: besonderer Stammteile (Zopf, Wurzelanlauf usw.), meßtechnische Gesichtspunkte",,,
524.15,,,Root swelling: form,Wurzelanlauf: Form,,,
524.18,,,Branches: mensurational form,Äste: Form,,,
524.18,,,"Form: of branches, mensurational aspects","Form: der Äste, meßtechnische Gesichtspunkte",,,
524.2,,,Volume of single trees,Massenermittlung des Einzelstammes,,,
524.3,,,(empty),,,,
524.31,,,(empty),,,,
524.311,,,(empty),,,,
524.314,,,(empty),,,,
524.315,,,Tables and their construction: volume,Tafeln und ihre Aufstellung: Massentafeln,,,
524.315,,,Volume tables and their construction,Massentafeln und ihre Aufstellung,,,
524.32,,,Volume of stands: as determined by felling,Massenermittlung von Baumgruppen und Beständen: auf Grund des Fällungsergebnisses,,,
524.33,,,Volume of stands: based on all trees without sample-tree data,Massenermittlung von Baumgruppen und Beständen: auf Grund der Messung aller Bäume ohne Benutzung von Probestämmen,,,
524.34,,,Mean-tree methods of determining volume,Mittelstamm-Methoden zur Massenermittlung,,,
524.34,,,Volume of stands: based on all trees plus sample-tree data,Massenermittlung von Baumgruppen und Beständen: auf Grund der Messung aller Bäume mit Benutzung von Probestämmen,,,
524.36,,,Volume of stands: based on area and past felling records,Massenermittlung von Baumgruppen und Beständen: auf Grund der Fläche und früherer Fällungsergebnisse,,,
524.37,,,Volume of stands: based on area and yield-table data,Massenermittlung von Baumgruppen und Beständen: auf Grund der Fläche und von Ertragstafeln,,,
524.37,,,Yield: tables (use to determine volume of stands),Ertragstafeln (Massenermittlung),,,
524.38,,,Ocular estimation of stand volume etc.,Okularschätzung des Masseninhalts von Beständen usw.,,,
524.38,,,Volume of stands: ocular estimation,Massenermittlung von Baumgruppen und Beständen: Okularschätzung,,,
524.4,,,(empty),,,,
524.41,,,"\""Cruising,\"" timber: methods of recording data","Aufnahmen, allgemeine von Wäldern: Protokollierung",,,
524.41,,,"Measuring parties, forest: recording of data","Meßmannschaften, forstliche: Protokollierung",,,
524.41,,,"Surveys, enumeration: recording of data",Waldaufnahmen (einschließlich Schätzung): Methoden der Protokollierung,,,
524.41,,,Tallies,Kluppmanuale,,,
524.46,,,"\""Cruising,\"" timber: organization of parties and their work","Aufnahmen, allgemeine von Wäldern: Organisation und Arbeit der Meßmannschaft",,,
